Latitude,Longitude,Bridge_Condition
34.764886,-91.064328,Poor
34.776544,-91.004758,Poor
34.775122,-90.889767,Poor
35.592431,-91.24185,Poor
35.563814,-91.186267,Poor
35.162731,-94.407139,Poor
34.060792,-94.459308,Poor
34.053603,-94.422733,Poor
34.047942,-94.412842,Poor
33.597064,-92.818083,Poor
35.671961,-90.337992,Poor
35.613728,-90.344525,Poor
35.613472,-90.329503,Poor
34.848275,-90.632864,Poor
35.028739,-94.117331,Poor
35.336136,-91.203781,Poor
35.338364,-91.205464,Poor
35.385228,-91.230228,Poor
34.857244,-90.605608,Poor
36.419975,-94.119539,Poor
35.164258,-91.523656,Poor
35.871983,-92.323106,Poor
35.640269,-90.089281,Poor
35.406119,-90.755833,Poor
34.583475,-94.098331,Poor
35.431014,-91.109678,Poor
35.550858,-91.115994,Poor
35.479819,-94.23475,Poor
36.107686,-90.505986,Poor
35.555906,-93.862203,Poor
34.581781,-94.073158,Poor
33.853539,-91.258642,Poor
34.039142,-93.417875,Poor
35.025272,-91.873544,Poor
35.031053,-91.873622,Poor
35.771739,-90.177733,Poor
35.776381,-90.177761,Poor
35.789181,-90.178114,Poor
35.78335,-90.178111,Poor
35.484511,-90.322781,Poor
35.557528,-90.322647,Poor
34.846542,-91.00995,Poor
34.497767,-90.591914,Poor
35.678172,-90.340467,Poor
35.700694,-90.341136,Poor
34.844178,-92.122308,Poor
36.032208,-91.226894,Poor
35.843314,-93.743314,Poor
33.628625,-91.446422,Poor
34.584058,-94.139208,Poor
34.531464,-91.873881,Poor
36.406144,-94.601039,Poor
36.402053,-90.541894,Poor
35.400319,-90.927486,Poor
36.223403,-94.566772,Poor
34.321608,-93.552683,Poor
35.876597,-94.467922,Poor
35.872336,-94.456836,Poor
35.904872,-89.891878,Poor
35.98645,-89.874836,Poor
34.976461,-91.843667,Poor
34.707475,-92.281008,Poor
35.538569,-90.164017,Poor
34.791678,-92.059019,Poor
34.804217,-91.888631,Poor
34.797342,-92.302758,Poor
36.028778,-93.930139,Poor
34.482689,-92.7245,Poor
35.857869,-90.933258,Poor
34.498519,-90.59585,Poor
35.781397,-94.249275,Poor
